[2023-03-03T19:29:08.045+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010031170_e20230010033543_c20230010034014.nc
[2023-03-03T19:29:08.046+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010036170_e20230010038543_c20230010039009.nc
[2023-03-03T19:29:08.046+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010041170_e20230010043543_c20230010044038.nc
[2023-03-03T19:29:08.046+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010046170_e20230010048543_c20230010049034.nc
[2023-03-03T19:29:08.047+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010051170_e20230010053543_c20230010054029.nc
[2023-03-03T19:29:08.053+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C08_G18_s20230010056170_e20230010058543_c20230010059035.nc
[2023-03-03T19:29:08.054+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010001170_e20230010003550_c20230010004036.nc
[2023-03-03T19:29:08.054+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010006170_e20230010008549_c20230010008594.nc
[2023-03-03T19:29:08.055+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010011170_e20230010013550_c20230010014029.nc
[2023-03-03T19:29:08.055+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010016170_e20230010018549_c20230010019002.nc
[2023-03-03T19:29:08.056+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010021170_e20230010023549_c20230010024032.nc
[2023-03-03T19:29:08.056+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010026170_e20230010028551_c20230010028598.nc
[2023-03-03T19:29:08.056+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010031170_e20230010033550_c20230010034020.nc
[2023-03-03T19:29:08.057+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010036170_e20230010038549_c20230010039013.nc
[2023-03-03T19:29:08.058+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010041170_e20230010043549_c20230010044010.nc
[2023-03-03T19:29:08.058+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010046170_e20230010048550_c20230010049023.nc
[2023-03-03T19:29:08.058+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010051170_e20230010053551_c20230010053599.nc
[2023-03-03T19:29:08.059+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C09_G18_s20230010056170_e20230010058549_c20230010059023.nc
[2023-03-03T19:29:08.059+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010001170_e20230010003556_c20230010003599.nc
[2023-03-03T19:29:08.060+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010006170_e20230010008555_c20230010008598.nc
[2023-03-03T19:29:08.060+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010011170_e20230010013557_c20230010014005.nc
[2023-03-03T19:29:08.061+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010016170_e20230010018555_c20230010019020.nc
[2023-03-03T19:29:08.061+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010021170_e20230010023556_c20230010023589.nc
[2023-03-03T19:29:08.061+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010026170_e20230010028557_c20230010029020.nc
[2023-03-03T19:29:08.062+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010031170_e20230010033556_c20230010033596.nc
[2023-03-03T19:29:08.062+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010036170_e20230010038554_c20230010039028.nc
[2023-03-03T19:29:08.063+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010041170_e20230010043555_c20230010044017.nc
[2023-03-03T19:29:08.063+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010046170_e20230010048555_c20230010049001.nc
[2023-03-03T19:29:08.063+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010051170_e20230010053557_c20230010054011.nc
[2023-03-03T19:29:08.064+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C10_G18_s20230010056170_e20230010058555_c20230010059026.nc
[2023-03-03T19:29:08.064+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010001170_e20230010003543_c20230010004002.nc
[2023-03-03T19:29:08.065+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010006170_e20230010008543_c20230010009000.nc
[2023-03-03T19:29:08.066+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010011170_e20230010013543_c20230010014017.nc
[2023-03-03T19:29:08.066+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010016170_e20230010018543_c20230010018595.nc
[2023-03-03T19:29:08.066+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010021170_e20230010023543_c20230010024015.nc
[2023-03-03T19:29:08.067+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010026170_e20230010028543_c20230010029001.nc
[2023-03-03T19:29:08.067+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010031170_e20230010033543_c20230010033594.nc
[2023-03-03T19:29:08.068+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010036170_e20230010038543_c20230010038591.nc
[2023-03-03T19:29:08.068+0000] {logging_mixin.py:137} INFO - OR_ABI-L1b-RadC-M6C11_G18_s20230010041170_e20230010043543_c20230010043597.nc
